title,intro
Player,Club,Number,Position,Country,Age,Height,Games,Minutes,Points,Rebounds,Assists,Steals,Turnovers,Blocks
Adam Hanga,FC Barcelona,8,Forward,Hungary,31,200,41,652,190,90,69,32,48,11
Adrien Moerman,Anadolu Efes,18,Forward,France,32,202,41,841,263,189,45,24,39,6
Alex Abrines,FC Barcelona,21,Forward,Spain,27,198,39,730,237,72,26,22,13,8
Alexander Khomenko,CSKA Moscow,4,Guard,Russia,21,192,16,100,32,4,4,0,8,0
Andrea Cinciarini,AX Armani Exchange Milan,20,Guard,Italy,34,193,8,19,0,2,2,0,2,0
Andrei Lopatin,CSKA Moscow,28,Forward,Russia,22,208,2,7,0,2,0,0,2,0
Artem Pustovyi,FC Barcelona,14,Center,Ukraine,28,218,15,119,42,18,3,5,12,8
Brancou Badio,FC Barcelona,25,Guard,Senegal,21,191,1,1,0,0,0,0,0,0
Brandon Davis,FC Barcelona,0,Center,USA,29,208,35,749,419,156,51,25,72,15
Bryant Dunston,Anadolu Efes,42,Center,USA,34,203,36,758,284,142,37,32,22,31
Bugrahan Tuncer,Anadolu Efes,19,Guard,Turkey,27,193,16,91,36,18,18,4,7,0
Chris Singleton,Anadolu Efes,2,Forward,USA,31,206,41,904,249,155,26,30,24,21
Cory Higgins,FC Barcelona,22,Guard,USA,31,195,39,1038,512,87,94,41,71,10
Daniel Hackett,CSKA Moscow,10,Guard,Italy,33,196,29,700,275,79,67,30,35,1
Darrun Hilliard,CSKA Moscow,6,Guard,USA,27,198,37,719,323,74,41,24,39,7
Davide Moretti,AX Armani Exchange Milan,3,Guard,Italy,22,189,3,6,2,0,0,0,1,0
Dogus Balbay,Anadolu Efes,4,Guard,Turkey,31,185,29,195,41,18,16,13,9,4
Dzanan Musa,Anadolu Efes,13,Forward,Bosnia&Herzegovina,21,206,4,12,0,2,1,1,2,0
Erten Gazi,Anadolu Efes,11,Guard,Turkey,23,190,9,50,14,6,5,2,0,0
